Label,X,Y
1f-1,1254,374
1f-2,1255,337
1f-3,1174,403
1f-4,1254,284
1f-5,1200,245
1f-6,1078,241
1f-7,1072,316
1f-8,981,243
1f-9,937,240
1f-10,928,332
1f-11,875,319
1f-12,798,314
1f-13,796,247
1f-14,689,247
1f-15,468,282
1f-16,567,458
1f-17,601,612
1f-18,601,1559
1f-19,813,1836
1f-20,939,1839
1f-21,966,1801
1f-22,877,1767
1f-23,953,1731
1f-24,1097,526
1f-25,1657,527
1f-26,1211,524
1f-27,1215,407
1f-28,1215,374
1f-29,1213,336
1f-30,1209,285
1f-31,1081,284
1f-32,985,283
1f-33,935,284
1f-34,874,283
1f-35,798,280
1f-36,685,282
1f-37,539,280
1f-38,538,456
1f-39,541,608
1f-40,546,1556
1f-41,545,1799
1f-42,815,1801
1f-43,876,1804
1f-44,932,1805
1f-45,934,1731
