Label,X,Y
2f-1,651,335
2f-2,620,386
2f-3,596,318
2f-4,576,318
2f-5,552,370
2f-6,516,374
2f-7,461,332
2f-8,423,371
2f-9,414,672
2f-10,415,746
2f-11,435,786
2f-12,409,918
2f-13,413,977
2f-14,423,1158
2f-15,457,1120
2f-16,523,1122
2f-17,557,1118
2f-18,587,1160
2f-19,612,1162
2f-20,620,1105
2f-21,647,1163
2f-22,622,1004
2f-23,621,828
2f-24,621,658
2f-25,698,371
2f-26,731,334
2f-27,814,335
2f-28,815,370
2f-29,859,371
2f-30,941,373
2f-31,949,330
2f-32,981,331
2f-33,1021,334
2f-34,1062,369
2f-35,1173,347
2f-36,1134,393
2f-37,1134,434
2f-38,1134,468
2f-39,1174,514
2f-40,1175,548
2f-41,1175,597
2f-42,1176,741
2f-43,1135,764
2f-44,1173,816
2f-45,1175,911
2f-46,1174,974
2f-47,1135,1024
2f-48,1124,1057
2f-49,1174,1078
2f-50,1132,1100
2f-51,1173,1141
2f-52,1062,1160
2f-53,1062,1119
2f-54,1032,1120
2f-55,1012,1121
2f-56,1002,1141
2f-57,799,1139
2f-58,741,1117
2f-59,772,1242
2f-60,1024,1242
2f-61,1031,1142
2f-62,1060,1142
2f-63,1149,1138
2f-64,1151,1101
2f-65,1149,1080
2f-66,1149,1058
2f-67,1153,1026
2f-68,1152,974
2f-69,1151,913
2f-70,1153,815
2f-71,1155,763
2f-72,1153,742
2f-73,1152,600
2f-74,1152,548
2f-75,1153,515
2f-76,1153,468
2f-77,1152,435
2f-78,1153,395
2f-79,1150,350
2f-80,1061,351
2f-81,1019,352
2f-82,980,353
2f-83,940,351
2f-84,857,353
2f-85,814,354
2f-86,729,354
2f-87,698,353
2f-88,649,354
2f-89,596,354
2f-90,574,353
2f-91,552,352
2f-92,513,351
2f-93,460,352
2f-94,421,352
2f-95,388,353
2f-96,388,672
2f-97,389,743
2f-98,386,921
2f-99,387,973
2f-100,387,1139
2f-101,421,1141
2f-102,456,1141
2f-103,523,1139
2f-104,559,1139
2f-105,586,1139
2f-106,610,1138
2f-107,645,1139
2f-108,737,1139
2f-109,770,1139
2f-110,644,1103
2f-111,644,1004
2f-112,645,828
2f-113,646,658
2f-114,646,481
2f-115,649,388
2f-116,1018,476
2f-117,772,1275
2f-118,1024,1276
