Label,X,Y
1f-1,915,349
1f-2,915,329
1f-3,877,364
1f-4,914,306
1f-5,890,288
1f-6,832,286
1f-7,831,321
1f-8,785,287
1f-9,765,286
1f-10,761,328
1f-11,736,325
1f-12,698,323
1f-13,698,287
1f-14,646,287
1f-15,540,306
1f-16,584,392
1f-17,599,463
1f-18,599,919
1f-19,704,1051
1f-20,765,1052
1f-21,776,1034
1f-22,735,1016
1f-23,781,1001
1f-24,839,425
1f-25,1109,422
1f-26,898,422
1f-27,895,364
1f-28,896,349
1f-29,895,330
1f-30,893,305
1f-31,831,307
1f-32,789,307
1f-33,764,308
1f-34,735,307
1f-35,699,307
1f-36,646,309
1f-37,571,306
1f-38,570,392
1f-39,571,467
1f-40,574,916
1f-41,574,1034
1f-42,703,1033
1f-43,735,1033
1f-44,762,1033
1f-45,763,1000
