Label,X,Y
5f-1,499,179
5f-2,1178,135
5f-3,1272,291
5f-4,1249,1078
5f-5,392,1077
5f-6,531,256
5f-7,630,271
5f-8,816,272
5f-9,1006,270
5f-10,1099,271
5f-11,1195,254
5f-12,1153,376
5f-13,1153,464
5f-14,1153,491
5f-15,1155,576
5f-16,1154,631
5f-17,1155,758
5f-18,1154,797
5f-19,1153,823
5f-20,1153,909
5f-21,1153,1034
5f-22,1110,1035
5f-23,1111,996
5f-24,1118,924
5f-25,1116,902
5f-26,1118,824
5f-27,1116,797
5f-28,1117,737
5f-29,1067,714
5f-30,1066,654
5f-31,1080,643
5f-32,1118,491
5f-33,1119,465
5f-34,1117,444
5f-35,1111,372
5f-36,1114,329
5f-37,1071,308
5f-38,1005,310
5f-39,815,309
5f-40,631,353
5f-41,603,324
5f-42,534,312
5f-43,512,362
5f-44,513,413
5f-45,516,468
5f-46,516,548
5f-47,513,736
5f-48,514,796
5f-49,517,917
5f-50,514,951
5f-51,514,1010
5f-52,480,1011
5f-53,476,879
5f-54,479,744
5f-55,479,547
5f-56,480,465
5f-57,479,239
5f-58,536,1058
5f-59,603,1042
5f-60,428,1098
5f-61,501,1097
5f-62,565,1092
5f-63,592,1095
5f-64,637,1099
5f-65,817,1098
5f-66,1004,1096
5f-67,1091,1093
5f-68,1207,1093
5f-69,1077,1058
5f-70,1005,1059
5f-71,817,1056
5f-72,498,241
5f-73,497,284
5f-74,533,285
5f-75,631,289
5f-76,629,326
5f-77,815,289
5f-78,1004,293
5f-79,1072,293
5f-80,1100,290
5f-81,1136,291
5f-82,1176,289
5f-83,1176,254
5f-84,1135,331
5f-85,1133,377
5f-86,1135,443
5f-87,1137,469
5f-88,1136,493
5f-89,1133,577
5f-90,1135,629
5f-91,1134,656
5f-92,1084,658
5f-93,1085,716
5f-94,1135,715
5f-95,1136,738
5f-96,1134,756
5f-97,1135,797
5f-98,1137,822
5f-99,1135,901
5f-100,1136,923
5f-101,1134,995
5f-102,1131,1035
5f-103,1209,1075
5f-104,1129,1073
5f-105,1089,1074
5f-106,1074,1074
5f-107,1004,1076
5f-108,817,1079
5f-109,635,1075
5f-110,635,1043
5f-111,592,1074
5f-112,566,1073
5f-113,535,1073
5f-114,496,1074
5f-115,425,1075
5f-116,499,1014
5f-117,499,951
5f-118,497,918
5f-119,497,796
5f-120,496,880
5f-121,498,741
5f-122,499,546
5f-123,499,467
5f-124,496,415
5f-125,499,361
5f-126,1240,683
